# Licence Number | Name | Branch | Trustee 1 | Trustee 2 | Note

# 6M Repeaters
174755,"Rotorua",33,"ZL1JP","ZL1BWC",
215191,"Rewa",46,"ZL2BA","ZL4JS",
101964,Waitomo,55,ZL4SQ,ZL1HJ,
175649,"Golden Bay",22,"ZL2BCG","ZL2VBO","Linked to Picton 7225, Blenheim 695 and Ward 560, IRLP 6285"
227865,Maungapikopiko,88,ZL1IE,ZL1RTY,
227633,"Hamilton Voice, Data and D-STAR",83,"ZL1HN","ZL1AT",
225629,"Rodney",71,ZL2BCB,ZL2MR,
230005,Climie D-Star,63,ZL2BRG,ZL2TDN,
228212,Waikato,81,ZL1TAT,ZL1THG,"Waiplenty Network, IRLP 6549"
239909,Kapiti Voice & Data,69,ZL2GO,ZL4VV,
235418,Maungakawa,81,ZL1TAT,ZL1THG,"Waiplenty Network, IRLP 6549"
236728,Auckland D-STAR DV,66,ZL1ICU,ZL1TGC,
235494,Dunedin,30,ZL4JH,ZL4GR,
234758,Motueka,24,ZL2BCG,ZL2ASF,
236929,Westport,62,,,
242588,Kapiti,69,ZL2GO,ZL4VV,
236193,Lower Hutt,18,ZL2TVM,ZL2TWS,
235015,Hamilton,89,ZL1PO,ZL1SAD,
244752,Rotorua Linear,33,ZL1JP,ZL1BWC,Inverted input
243361,Hamilton (Raglan) Voice & D-Star,83,,,
250528,Timaru,34,,,
247021,Tauranga (Voice & D-Star),39,,,
250805,Taumarnui,38,,,
243453,New Plymouth,27,,,
246517,Waihi North,81,,,"Waiplenty Network, IRLP 6549"
131963,12 PECKHAM LANE,,,,Privately Licenced
253001,148 Forest Hill Road,,,,Privately Licenced
225959,Tauranga City,53,,,
246587,Te Puke,53,,,
232948,Mosgiel,30,,,
241962,Halfway Bush Road,30,,,
243769,Masterton,46,,,
253589,Tauranga,39,,,
253517,Whakatanae,51,,,
233130,Taupo,60,,,
213218,Oeo Road,87,,,"+600 split. Linked to MereMere 147.05, MereMere 438.8 & Oeo Road 144.8"
257089,MT Barton,46,,,
255857,Napier,25,,,
263888,177 MCLEOD ROAD HELENSVILLE,,,,Privately Licenced
271070,Te Puke,53,,,
259248,"40 J GREENWOOD ROAD, LEIGH.",,,,Privately Licenced
259198,ABNERS HEAD,,,,Privately Licenced
261221,MereMere,87,,,Linked to MereMere 438.8 & Oeo Road 144.8
273018,Invercargill,37,,,
273023,Ashburton,1,,,
266837,Wanganui,48,,,
263788,Mount St Bathans,61,,,
261176,Clime,63,ZL2BRG,ZL2TDN,
271128,Mt Tuhua,,ZL2AJ,,Privately Licenced
271127,Pukawa 2,,ZL2AJ,,Privately Licenced
268852,York Rd,27,,,
281602,Hamilton (Raglan),83,,,
292091,Whakatanae,51,,,
276982,Whakatanae,51,,,
292141,Auckland,02,,,
415711,Tapanui Hill,,,,Privately Licenced
402604,Hoteo,71,,,
420245,Hikurangi Spur,,,,Privately Licenced
400245,Ardmore,,,,Privately Licenced
414675,Rotorua,33,,,
295190,Mt Admiral,,,,


# STSP
159314,"Branch 12 STSP",12,"ZL1PK","ZL1GWP",
97689,"Malbrough, Branch 22 STSP",22,"ZL2PK","ZL2WD",
102234,"Christchurch, Branch 5 STSP",5,,,

# 70CM Repeaters
220891,"Hawkes Bay VoIP",13,"ZL2AJ","ZL2DW","VoIP, Simplex"
177645,"Wairarapa",46,"ZL2BA","ZL4JS",
207837,"Mosgiel",30,"ZL4JH","ZL4GR","Simplex"
156052,Ponga,86,ZL1BFB,ZL1BCJ,
207838,"Dunedin",30,"ZL4JH","ZL4GR","Linked to Queenstown 685, Simplex"
174211,"Christchurch","CA","ZL3MJS","ZL3TMB",
174209,"Taraponui",25,"ZL2TC","ZL2DW",
163360,"Lower Hutt",18,"ZL2TVM","ZL2TWS",
163368,Blenheim,22,ZL2BK,ZL2BJV,
97640,"Auckland",66,"ZL1TGC","ZL1BK",
214479,"New Plymouth",27,"ZL2BR","ZL2BZH","C"
178784,"Cass Peak",56,,,
221224,"Manawatu",20,,,
225963,"Te Puke",53,"ZL1MOF","ZL1TAJ",
161729,Greymouth,49,ZL3TY,ZL3ADH,Linked to North Canterbury 6975
137508,"Manurewa",86,"ZL1UET","ZL1BFB",
177365,Hunua,,ZL1BNQ,,
215879,"Climie",63,"ZL2HM","ZL2BRG",
97542,Taihape,23,ZL2DC,ZL2BHX,
143017,Oamaru,64,ZL4SN,ZL4DB,
97953,Invercargill,37,,,
179142,Whangarei,28,ZL1TX,ZL1BSW,
70240,"Hawkes Bay",13,"ZL2AJ","ZL2DW","Linked to Wharite Voice & Data 960"
101995,"Waitomo",55,"ZL4SQ","ZL1HJ",
101996,Egmont,87,ZL2AFE,ZL2GLM,
207984,Timaru,34,ZL3OZ,ZL3GL,
207588,"Tauranga",39,"ZL1TAJ","ZL1BVA",
102127,"Kapiti",69,"ZL2GO","ZL4VV",
224760,"Nelson",26,"ZL2BCA","ZL2RP",
213219,"Hawkes Bay",13,"ZL2AJ","ZL2DW",
179120,"Mt Victoria",74,"ZL3TC","ZL2TVM",
207488,Gisborne,,ZL2CC,,Privately Licenced
231999,Ngaio,74,ZL2BEZ,ZL3TC,
179114,Wharite Voice and Datac,6,,,Linked to Hawkes Bay 879
227635,"Hamilton Voice, Data and D-STAR",83,"ZL1HN","ZL1AT",
231856,"Napier",25,"ZL2TC","ZL2DW",
228720,Climie D-STAR DV,63,ZL2BRG,ZL2TDN,
236198,Papamoa,39,ZL1TAJ,ZL1BVA,
23673,Auckland D-STAR DV,66,ZL1ICU,ZL1TGC,
236314,Halfway Bush Road Simplex,30,ZL4JH,ZL4GR,Linked to Queenstown 685
242650,Lower Hutt,18,ZL2TVM,ZL2TWS,
232796,Auckland,66,ZL1TGC,ZL1TND,
225767,Hamilton,89,ZL1PO,ZL1SAD,
225385,Dunedin,30,ZL4JH,ZL4GR,
242376,Auckland D-STAR DV,86,ZL1WOT,ZL1BFB,
243842,Colonial Knob,74,,,
243362,Hamilton (Raglan) Voice & D-Star,83,,,
252992,Christchurch D-STAR,05,,,
179113,Dawson Road,78,,,
254053,Whakatanae,51,,,
257405,Hamilton,89,,,
251874,Mt Threave,13,,,
236730,Auclkand,66,,,
239293,Nelson,26,,,
250309,Gore,08,,,
276409,Raglan,83,,,
263889,177 MCLEOD ROAD HELENSVILLE,,,,Privately Licenced
261222,MereMere,87,,,Linked to MereMere 147.5 & Oeo Road 144.8
267755,Ashburton Voice & Fusion,1,,,
263532,Colonial Knob,74,ZL3TC,ZL4JY,
273019,Invercargill,37,,,
272581,Christchurch,5,,,
264395,MENZIES BUILDING INVERCARGILL,,,,Privately Licenced
270020,Gore,8,,,
265536,Tauranga D-Star,39,,,
272624,Tauranga,39,,,
271104,Mt Grey,68,,,
271140,Mt Tuhua,,ZL2AJ,,Privately Licenced
276301,Remarkables,61,,,
267881,	Waiheke Island,,ZL1PMY,,Privately Licenced
263159,Woolston,,,,Privately Licenced
268574,York Rd,27,,,
281881,New Plymouth,27,,,
278282,Motueka,24,ZL2BCG,ZL2ASF,
290325,415 Southland Place Hastings 965,,ZL2RO,ZL2ROR,Privately Licenced
400244,Ardmore,,,,Privately Licenced
418843,Mt Admiral,,,,
294449,Masterton,46,ZL2BA,ZL4JS,
298788,Timaru,34,,,
418171,"Fantail Grove, Belmont",,,,Privately Licenced
411946,Ohuka Park,,,,Privately Licenced
296414,Invercargill,37,,,
295038,"62 Glenstrae Road, Christchurch",,,,Privately Licenced
419701,Manawatu,20,,,
414595, Limestone Hills Road,,,,Privately Licenced
415322,"Lemon Street, New Plymouth",,,,Privately Licenced
416121,Ahiweka,20,,,
419381,Whanganui,48,,,
301674,7 Eliza Place,,,,Privately Licenced
415305,Levin,16,,,

# 70CM National System Repeaters
177228,"Kaimai National System",81,"ZL1GWP","ZL3GR",
177306,"Mt Erin National System",25,"ZL2TC",ZL2DW,
179219,"Blue Duck National System",5,ZL3RX,ZL3VP,
177646,"Balclutha National System",35,"ZL4AS","ZL4TL",
177300,"Doubtless Bay National System",78,ZL1AUI,ZL1BQK,
179116,"Doubtless Bay National System Link",78,ZL1AUI,ZL1BQK,
177331,"Egmont National System",74,"ZL2SJ","ZL4JY",
177318,"Waitaki National System",34,"ZL3OZ","ZL3GL",
177303,"Brynderwyn National System ",28,ZL1TX,ZL1DTE,
225932,"Wairarapa National System",46,"ZL2BA","ZL4JS",
177330,"Wairarapa National System Link",46,"ZL2BA","ZL4JS",
209686,"Murchison National System",26,"ZL2BCA","ZL2RP",
209735,"Taupo National System",74,ZL2SJ,ZL1KU,
177326,"Auckland National System",66,ZL1TGC,ZL1TND,
177325,"Auckland National System Link",66,ZL1TGC,ZL1TND,
177327,"Auckland National System Link",66,ZL1TGC,ZL1TND,
177333,"Auckland National System Link",66,ZL1TGC,ZL1TND,
177887,"Gisborne National System",11,"ZL2TRG","ZL2HC",
177886,"Gisborne National System Link",11,"ZL2TRG","ZL2HC",
177650,"Whanganui National System",48,"ZL2THO","ZL1BNB",
177651,"Whanganui National System Link",48,"ZL2THO","ZL1BNB",
177239,"Belmont National System",74,"ZL3TC","ZL2TVM",
177235,"Belmont National System Link",74,"ZL3TC","ZL2TVM",
177238,"Belmont National System Link",74,"ZL3TC","ZL2TVM",
177240,"Belmont National System Link",74,"ZL3TC","ZL2TVM",
211465,"Greymouth National System",49,ZL3TY,ZL3ADH,
177321,"Christchurch National System",5,ZL3RX,ZL3VP,
177320,"Christchurch National System Link",5,ZL3RX,ZL3VP,
177323,"Christchurch National System Link",5,ZL3RX,ZL3VP,
177302,"Whangarei National System",28,ZL1TX,ZL1BSW,
177301,"Whangarei National System Link",28,ZL1TX,ZL1BSW,
177329,"Rotorua National System",33,"ZL1BTB","ZL1BWC",
177328,"Rotorua National System Link",33,"ZL1BTB","ZL1BWC",
177653,"Rangitoto National System",55,"ZL4SQ","ZL1HJ",
207983,"Kapiti National System",69,"ZL2GO","ZL4VV",
177334,"Kapiti National System Link",69,"ZL2GO","ZL4VV",
177364,"Saddle Hill National System",26,,,
228947,"Opito Bay National System",85,"ZL1AAF","ZL1BCJ",
223033,"Nelson National System",26,"ZL2BCA","ZL2RP",
223034,"Nelson National System Link",26,"ZL2BCA","ZL2RP",
223035,"Nelson National System Link",26,"ZL2BCA","ZL2RP",
177304,"Dunedin National System",30,"ZL4JH","ZL4GR",
177649,"Dunedin National System Link",30,"ZL4JH","ZL4GR",
177305,"Dunedin National System Link",30,"ZL4JH","ZL4GR",
177299,"Far North National System",84,"ZL1IU","ZL1RS",
177232,"Hamilton National System",81,"ZL1TAT","ZL1THG",
177233,"Hamilton National System Link",81,"ZL1TAT","ZL1THG",
259631,"Edgecumbe National System",67,"ZL1CAY","ZL1OW",
259629,"Edgecumbe National System Link",67,"ZL1CAY","ZL1OW",
177324,Wharite National System,74,ZL2SJ,ZL1RKW,
